name,rdate,price,display,ram,rom,chipname,chipdetails,fr_ap,fr_pxsize,fr_res,rear_res1,rear_res2,rear_res3,rear_ap1,rear_ap2,rear_ap3,rear_px1,rear_px2,rear_px3,fr_video,rear_video
Realme X7 Max 5G ,"2021, May 31","₹ 24,851","Super AMOLED, 120Hz, 1000 nits (peak)",8GB,128GB,MediaTek MT6893 Dimensity 1200 5G (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55), f/2.5, 1.0µm,16 MP,64 MP,8 MP,2 MP, f/1.8, f/2.3, f/2.4, 26mm (wide), 16mm, (macro)</br></br></td>,"4K@30/60fps, 1080p@30/60/480fps, gyro-EIS",1080p@30fps
Realme Narzo 30 5G ,"2021, May 26","$ 182.68 / £ 185.19 / € 189.99 / ₹ 16,999","IPS LCD, 90Hz, 480 nits (typ), 600 nits (peak)",4GB,64GB,MediaTek MT6833 Dimensity 700 5G (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55), f/2.1, 26mm (wide),16 MP,48 MP,2 MP,2 MP, f/1.8, f/2.4, f/2.4, 26mm (wide), (macro), (depth)</br></br></td>,1080p@30fps,1080p@30fps
Realme Q3 Pro Carnival ,"2021, May 25",About 230 EUR,"Super AMOLED, 120Hz, 600 nits",8GB,128GB,Qualcomm SM7250-AC Snapdragon 768G 5G (7 nm),Octa-core (1x2.8 GHz Kryo 475 Prime & 1x2.4 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver), (wide), 0.8µm,32 MP,64 MP,8 MP,2 MP, f/1.8, f/2.3, f/2.4, 26mm (wide), 16mm, (macro)</br></br></td>,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",1080p@30fps
Realme GT Neo Flash ,"2021, May 25",About 290 EUR,"Super AMOLED, 120Hz",8GB,256GB,MediaTek MT6893 Dimensity 1200 5G (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55), f/2.5, 1.0µm,16 MP,64 MP,8 MP,2 MP, f/1.8, f/2.3, f/2.4, 26mm (wide), 16mm, (macro)</br></br></td>,"4K@30/60fps, 1080p@30/60/480fps, gyro-EIS",1080p@30fps
Realme Narzo 30 ,"2021, May 18","$ 208.41 / ₹ 13,499","IPS LCD, 90Hz, 580 nits (peak)",4GB,64GB,Mediatek Helio G95 (12 nm),Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55), f/2.1, 1.0µm,16 MP,48 MP,2 MP,2 MP, f/1.8, f/2.4, f/2.4, 26mm (wide), (macro), (depth)</br></br></td>,"4K@30fps, 1080p@30/60/120fps, gyro-EIS",1080p@30/120fps
Realme C20A ,"2021, May 11",About 90 EUR,"IPS LCD, 400 nits (typ)",2GB,32GB,MediaTek Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53), f/2.2, 1.12µm,5 MP,8 MP,,, f/2.0,,, (wide),,,1080p@30fps,1080p@30fps
Realme Q3 Pro 5G ,"2021, April 22",About 210 EUR,"Super AMOLED, 120Hz",6GB,128GB,MediaTek MT6891Z Dimensity 1100 5G (6 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55), f/2.5, 26mm (wide),16 MP,64 MP,8 MP,2 MP, f/1.8, f/2.3, f/2.4, 26mm (wide), 16mm, (macro)</br></br></td>,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",1080p@30fps
Realme Q3 5G ,"2021, April 22",About 170 EUR,"IPS LCD, 120Hz, 480 nits (typ), 600 nits (peak)",6GB,128GB,Qualcomm SM7225 Snapdragon 750G 5G (8 nm),Octa-core (2x2.2 GHz Kryo 570 & 6x1.8 GHz Kryo 570), f/2.1, 26mm (wide),16 MP,48 MP, 8 MP,2 MP, f/1.8, f/2.3, f/2.4, 26mm (wide), 16mm, (macro)</br></br></td>,"4K@30fps, 1080p@30/60fps; gyro-EIS",1080p@30fps
Realme Q3i 5G ,"2021, April 22",About 130 EUR,"IPS LCD, 90Hz, 480 nits (typ), 600 nits",4GB,128GB,MediaTek MT6833 Dimensity 700 5G (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55), f/2.1, 26mm (wide),16 MP,48 MP,2 MP,2 MP, f/1.8, f/2.4, f/2.4, 26mm (wide), (macro), (depth)</br></br></td>,1080p@30fps,1080p@30fps
Realme 8 5G ,"2021, April 21","$ 183.92 / £ 203.89 / ₹ 15,848","IPS LCD, 90Hz, 480 nits (typ), 600 nits",4GB,64GB,MediaTek MT6833 Dimensity 700 5G (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55), f/2.1, 26mm (wide),16 MP,48 MP,2 MP,2 MP, f/1.8, f/2.4, f/2.4, 26mm (wide), (macro), (depth)</br></br></td>,1080p@30fps,1080p@30fps
