 ,rdate,price,display,ram,rom,chipname,chipdetails,fr_ap,fr_pxsize,fr_res,rear_res1,rear_res2,rear_res3,rear_res4,rear_ap1,rear_ap2,rear_ap3,rear_ap4,rear_px1,rear_px2,rear_px3,rear_px4,fr_video,rear_video
Xiaomi 11T Pro ,"2021, September 15",About 650 EUR,"AMOLED, Dolby Vision, 1B colors, 120Hz, HDR10+, 800 nits (typ), 1000 nits (peak)",8GB,128GB,Qualcomm SM8350 Snapdragon 888 5G (5 nm),Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680), f/2.5, 1.0µm,16 MP,108 MP,8 MP,5 MP,5 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, AF</br></br></td>, AF</br></br></td>,"8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960, HDR10+, gyro-EIS",1080p@30fps
Xiaomi 11T ,"2021, September 15",About 500 EUR,"AMOLED, 1B colors, 120Hz, HDR10+, 800 nits (typ), 1000 nits (peak)",8GB,128GB,MediaTek MT6893 Dimensity 1200 5G (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55), f/2.5, 1.0µm,16 MP,108 MP,8 MP,5 MP,5 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, AF</br></br></td>, AF</br></br></td>,"4K@30fps, 1080p@30/60/120, gyro-EIS",1080p@30fps
Xiaomi 11 Lite 5G NE ,"2021, September 15",About 370 EUR,"AMOLED, 1B colors, Dolby Vision, HDR10+, 90Hz",6GB,128GB,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670), f/2.2, 0.8µm,20 MP,64 MP,8 MP,5 MP,5 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, AF</br></br></td>, AF</br></br></td>,"4K@30fps, 1080p@30/60/120fps; gyro-EIS","1080p@30/60fps, 720p@120fps"
Xiaomi Redmi 10 Prime ,"2021, September 03",About 140 EUR,"LCD, 90Hz",4GB,64GB,MediaTek Helio G88 (12nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55), f/2.0, (wide),8 MP,50 MP,8 MP,2 MP,, f/1.8, f/2.2, f/2.4,, (wide), 120˚ (ultrawide), (macro),,1080p@30fps,1080p@30fps
Xiaomi Redmi 10 ,"2021, August 18",About 160 EUR,"LCD, 90Hz",4GB,64GB,MediaTek Helio G88 (12nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55), f/2.0, (wide),8 MP,50 MP,8 MP,2 MP,, f/1.8, f/2.2, f/2.4,, (wide), 120˚ (ultrawide), (macro),,1080p@30fps,1080p@30fps
Xiaomi Pad 5 Pro ,"2021, August 10",About 330 EUR,"IPS LCD, 1B colors, 120Hz, HDR10, Dolby Vision",6GB,128GB,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585), f/2.0, f/2.0,8 MP,5G model:,50 MP,5 MP,,," 1/2.5"", f/2.4""",,, PDAF, (depth),,"4K@30fps, 1080p@30fps",1080p@30fps,
Xiaomi Pad 5 ,"2021, August 10",About 350 EUR,"IPS LCD, 1B colors, 120Hz, HDR10, Dolby Vision",6GB,128GB,Qualcomm Snapdragon 860 (7 nm),Octa-core (1x2.96 GHz Kryo 485 Gold & 3x2.42 GHz Kryo 485 Gold & 4x1.78 GHz Kryo 485 Silver), f/2.0, f/2.0,8 MP,13 MP,,,,,,,,,,,,"4K@30fps, 1080p@30fps",1080p@30fps
Xiaomi Mix 4 ,"2021, August 10",About 660 EUR,"AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 800 nits (HBM)",8GB,128GB,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Octa-core (1x2.99 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680), 27mm (wide), 0.8µm,Under-display 20 MP,108 MP,8 MP,13 MP,13 MP, f/1.9, f/4.1, f/2.2, f/2.2, 24mm (wide), 5x optical zoom, 1.12µm</br></br></td>, 1.12µm</br></br></td>,"8K@24fps, 4K@30/60fps, 1080p@30/60/120/480fps; gyro-EIS, HDR10+",1080p@30fps
Xiaomi Poco X3 GT ,"2021, July 28",$ 325.00 / £ 315.01 / € 347.52,"IPS LCD, 120Hz, HDR10, 450 nits (typ)",8GB,128GB,MediaTek MT6891Z Dimensity 1100 5G (6 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55), f/2.5, 1.0µm,16 MP,64 MP,8 MP,2 MP,2 MP, f/1.8, f/2.2, f/2.4, f/2.4, 26mm (wide), 1.12µm, (macro)</br></br></td>, (macro)</br></br></td>,"4K@30fps, 1080p@30/60/120fps","1080p@30fps, 720p@120fps, 960fps"
Xiaomi Poco F3 GT ,"2021, July 23",About 300 EUR,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ)",6GB,128GB,MediaTek MT6893 Dimensity 1200 5G (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,,16 MP,64 MP,8 MP,2 MP,2 MP, f/1.7, f/2.2, f/2.4, f/2.4, 26mm (wide), 120˚ (ultrawide), (macro)</br></br></td>, (macro)</br></br></td>,"4K@30fps, 1080p@30/60/120fps, 720p@960fps, HDR","1080p@30fps, HDR"
